trust,date,admissions
Royal Surrey County Hospital NHS Foundation Trust,2022-01-30,0
Royal Surrey County Hospital NHS Foundation Trust,2022-01-29,11
Royal Surrey County Hospital NHS Foundation Trust,2022-01-28,1
Royal Surrey County Hospital NHS Foundation Trust,2022-01-27,13
Royal Surrey County Hospital NHS Foundation Trust,2022-01-26,9
Royal Surrey County Hospital NHS Foundation Trust,2022-01-25,1
Royal Surrey County Hospital NHS Foundation Trust,2022-01-24,8
Royal Surrey County Hospital NHS Foundation Trust,2022-01-23,4
Royal Surrey County Hospital NHS Foundation Trust,2022-01-22,2
Royal Surrey County Hospital NHS Foundation Trust,2022-01-21,6
Royal Surrey County Hospital NHS Foundation Trust,2022-01-20,0
Royal Surrey County Hospital NHS Foundation Trust,2022-01-19,1
Royal Surrey County Hospital NHS Foundation Trust,2022-01-18,1
Royal Surrey County Hospital NHS Foundation Trust,2022-01-17,2
Royal Surrey County Hospital NHS Foundation Trust,2022-01-16,6
Royal Surrey County Hospital NHS Foundation Trust,2022-01-15,2
Royal Surrey County Hospital NHS Foundation Trust,2022-01-14,2
Royal Surrey County Hospital NHS Foundation Trust,2022-01-13,3
Royal Surrey County Hospital NHS Foundation Trust,2022-01-12,4
Royal Surrey County Hospital NHS Foundation Trust,2022-01-11,9
Royal Surrey County Hospital NHS Foundation Trust,2022-01-10,7
Royal Surrey County Hospital NHS Foundation Trust,2022-01-09,13
Royal Surrey County Hospital NHS Foundation Trust,2022-01-08,3
Royal Surrey County Hospital NHS Foundation Trust,2022-01-07,6
Royal Surrey County Hospital NHS Foundation Trust,2022-01-06,6
Royal Surrey County Hospital NHS Foundation Trust,2022-01-05,6
Royal Surrey County Hospital NHS Foundation Trust,2022-01-04,9
Royal Surrey County Hospital NHS Foundation Trust,2022-01-03,2
Royal Surrey County Hospital NHS Foundation Trust,2022-01-02,6
Royal Surrey County Hospital NHS Foundation Trust,2022-01-01,7
Royal Surrey County Hospital NHS Foundation Trust,2021-12-31,4
Royal Surrey County Hospital NHS Foundation Trust,2021-12-30,6
Royal Surrey County Hospital NHS Foundation Trust,2021-12-29,4
Royal Surrey County Hospital NHS Foundation Trust,2021-12-28,4
Royal Surrey County Hospital NHS Foundation Trust,2021-12-27,7
Royal Surrey County Hospital NHS Foundation Trust,2021-12-26,9
Royal Surrey County Hospital NHS Foundation Trust,2021-12-25,6
Royal Surrey County Hospital NHS Foundation Trust,2021-12-24,4
Royal Surrey County Hospital NHS Foundation Trust,2021-12-23,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-22,1
Royal Surrey County Hospital NHS Foundation Trust,2021-12-21,5
Royal Surrey County Hospital NHS Foundation Trust,2021-12-20,2
Royal Surrey County Hospital NHS Foundation Trust,2021-12-19,4
Royal Surrey County Hospital NHS Foundation Trust,2021-12-18,5
Royal Surrey County Hospital NHS Foundation Trust,2021-12-17,4
Royal Surrey County Hospital NHS Foundation Trust,2021-12-16,6
Royal Surrey County Hospital NHS Foundation Trust,2021-12-15,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-14,5
Royal Surrey County Hospital NHS Foundation Trust,2021-12-13,6
Royal Surrey County Hospital NHS Foundation Trust,2021-12-12,6
Royal Surrey County Hospital NHS Foundation Trust,2021-12-11,2
Royal Surrey County Hospital NHS Foundation Trust,2021-12-10,4
Royal Surrey County Hospital NHS Foundation Trust,2021-12-09,9
Royal Surrey County Hospital NHS Foundation Trust,2021-12-08,5
Royal Surrey County Hospital NHS Foundation Trust,2021-12-07,2
Royal Surrey County Hospital NHS Foundation Trust,2021-12-06,5
Royal Surrey County Hospital NHS Foundation Trust,2021-12-05,1
Royal Surrey County Hospital NHS Foundation Trust,2021-12-04,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-03,2
Royal Surrey County Hospital NHS Foundation Trust,2021-12-02,5
Royal Surrey County Hospital NHS Foundation Trust,2021-12-01,1
Royal Surrey County Hospital NHS Foundation Trust,2021-11-30,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-29,6
Royal Surrey County Hospital NHS Foundation Trust,2021-11-28,4
Royal Surrey County Hospital NHS Foundation Trust,2021-11-27,1
Royal Surrey County Hospital NHS Foundation Trust,2021-11-26,4
Royal Surrey County Hospital NHS Foundation Trust,2021-11-25,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-24,0
Royal Surrey County Hospital NHS Foundation Trust,2021-11-23,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-22,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-21,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-20,0
Royal Surrey County Hospital NHS Foundation Trust,2021-11-19,0
Royal Surrey County Hospital NHS Foundation Trust,2021-11-18,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-17,0
Royal Surrey County Hospital NHS Foundation Trust,2021-11-16,4
Royal Surrey County Hospital NHS Foundation Trust,2021-11-15,1
Royal Surrey County Hospital NHS Foundation Trust,2021-11-14,4
Royal Surrey County Hospital NHS Foundation Trust,2021-11-13,0
Royal Surrey County Hospital NHS Foundation Trust,2021-11-12,1
Royal Surrey County Hospital NHS Foundation Trust,2021-11-11,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-10,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-09,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-08,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-07,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-06,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-05,0
Royal Surrey County Hospital NHS Foundation Trust,2021-11-04,1
Royal Surrey County Hospital NHS Foundation Trust,2021-11-03,1
Royal Surrey County Hospital NHS Foundation Trust,2021-11-02,3
