trust,date,venti
Royal Surrey County Hospital NHS Foundation Trust,2022-02-01,1
Royal Surrey County Hospital NHS Foundation Trust,2022-01-31,1
Royal Surrey County Hospital NHS Foundation Trust,2022-01-30,1
Royal Surrey County Hospital NHS Foundation Trust,2022-01-29,3
Royal Surrey County Hospital NHS Foundation Trust,2022-01-28,3
Royal Surrey County Hospital NHS Foundation Trust,2022-01-27,2
Royal Surrey County Hospital NHS Foundation Trust,2022-01-26,1
Royal Surrey County Hospital NHS Foundation Trust,2022-01-25,1
Royal Surrey County Hospital NHS Foundation Trust,2022-01-24,3
Royal Surrey County Hospital NHS Foundation Trust,2022-01-23,3
Royal Surrey County Hospital NHS Foundation Trust,2022-01-22,4
Royal Surrey County Hospital NHS Foundation Trust,2022-01-21,3
Royal Surrey County Hospital NHS Foundation Trust,2022-01-20,2
Royal Surrey County Hospital NHS Foundation Trust,2022-01-19,2
Royal Surrey County Hospital NHS Foundation Trust,2022-01-18,3
Royal Surrey County Hospital NHS Foundation Trust,2022-01-17,3
Royal Surrey County Hospital NHS Foundation Trust,2022-01-16,3
Royal Surrey County Hospital NHS Foundation Trust,2022-01-15,3
Royal Surrey County Hospital NHS Foundation Trust,2022-01-14,3
Royal Surrey County Hospital NHS Foundation Trust,2022-01-13,3
Royal Surrey County Hospital NHS Foundation Trust,2022-01-12,2
Royal Surrey County Hospital NHS Foundation Trust,2022-01-11,2
Royal Surrey County Hospital NHS Foundation Trust,2022-01-10,2
Royal Surrey County Hospital NHS Foundation Trust,2022-01-09,2
Royal Surrey County Hospital NHS Foundation Trust,2022-01-08,1
Royal Surrey County Hospital NHS Foundation Trust,2022-01-07,1
Royal Surrey County Hospital NHS Foundation Trust,2022-01-06,2
Royal Surrey County Hospital NHS Foundation Trust,2022-01-05,2
Royal Surrey County Hospital NHS Foundation Trust,2022-01-04,2
Royal Surrey County Hospital NHS Foundation Trust,2022-01-03,3
Royal Surrey County Hospital NHS Foundation Trust,2022-01-02,3
Royal Surrey County Hospital NHS Foundation Trust,2022-01-01,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-31,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-30,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-29,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-28,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-27,5
Royal Surrey County Hospital NHS Foundation Trust,2021-12-26,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-25,4
Royal Surrey County Hospital NHS Foundation Trust,2021-12-24,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-23,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-22,4
Royal Surrey County Hospital NHS Foundation Trust,2021-12-21,4
Royal Surrey County Hospital NHS Foundation Trust,2021-12-20,4
Royal Surrey County Hospital NHS Foundation Trust,2021-12-19,4
Royal Surrey County Hospital NHS Foundation Trust,2021-12-18,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-17,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-16,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-15,1
Royal Surrey County Hospital NHS Foundation Trust,2021-12-14,1
Royal Surrey County Hospital NHS Foundation Trust,2021-12-13,2
Royal Surrey County Hospital NHS Foundation Trust,2021-12-12,1
Royal Surrey County Hospital NHS Foundation Trust,2021-12-11,1
Royal Surrey County Hospital NHS Foundation Trust,2021-12-10,1
Royal Surrey County Hospital NHS Foundation Trust,2021-12-09,1
Royal Surrey County Hospital NHS Foundation Trust,2021-12-08,2
Royal Surrey County Hospital NHS Foundation Trust,2021-12-07,2
Royal Surrey County Hospital NHS Foundation Trust,2021-12-06,2
Royal Surrey County Hospital NHS Foundation Trust,2021-12-05,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-04,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-03,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-02,3
Royal Surrey County Hospital NHS Foundation Trust,2021-12-01,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-30,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-29,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-28,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-27,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-26,1
Royal Surrey County Hospital NHS Foundation Trust,2021-11-25,1
Royal Surrey County Hospital NHS Foundation Trust,2021-11-24,1
Royal Surrey County Hospital NHS Foundation Trust,2021-11-23,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-22,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-21,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-20,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-19,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-18,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-17,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-16,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-15,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-14,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-13,1
Royal Surrey County Hospital NHS Foundation Trust,2021-11-12,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-11,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-10,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-09,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-08,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-07,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-06,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-05,2
Royal Surrey County Hospital NHS Foundation Trust,2021-11-04,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-03,3
Royal Surrey County Hospital NHS Foundation Trust,2021-11-02,1
Royal Surrey County Hospital NHS Foundation Trust,2021-11-01,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-31,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-30,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-29,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-28,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-27,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-26,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-25,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-24,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-23,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-22,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-21,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-20,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-19,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-18,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-17,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-16,2
Royal Surrey County Hospital NHS Foundation Trust,2021-10-15,2
Royal Surrey County Hospital NHS Foundation Trust,2021-10-14,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-13,2
Royal Surrey County Hospital NHS Foundation Trust,2021-10-12,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-11,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-10,2
Royal Surrey County Hospital NHS Foundation Trust,2021-10-09,2
Royal Surrey County Hospital NHS Foundation Trust,2021-10-08,2
Royal Surrey County Hospital NHS Foundation Trust,2021-10-07,1
Royal Surrey County Hospital NHS Foundation Trust,2021-10-06,2
Royal Surrey County Hospital NHS Foundation Trust,2021-10-05,2
Royal Surrey County Hospital NHS Foundation Trust,2021-10-04,2
Royal Surrey County Hospital NHS Foundation Trust,2021-10-03,2
Royal Surrey County Hospital NHS Foundation Trust,2021-10-02,2
Royal Surrey County Hospital NHS Foundation Trust,2021-10-01,2
Royal Surrey County Hospital NHS Foundation Trust,2021-09-30,3
Royal Surrey County Hospital NHS Foundation Trust,2021-09-29,3
Royal Surrey County Hospital NHS Foundation Trust,2021-09-28,3
Royal Surrey County Hospital NHS Foundation Trust,2021-09-27,2
Royal Surrey County Hospital NHS Foundation Trust,2021-09-26,2
Royal Surrey County Hospital NHS Foundation Trust,2021-09-25,2
Royal Surrey County Hospital NHS Foundation Trust,2021-09-24,2
Royal Surrey County Hospital NHS Foundation Trust,2021-09-23,2
Royal Surrey County Hospital NHS Foundation Trust,2021-09-22,2
Royal Surrey County Hospital NHS Foundation Trust,2021-09-21,1
Royal Surrey County Hospital NHS Foundation Trust,2021-09-20,1
Royal Surrey County Hospital NHS Foundation Trust,2021-09-19,1
Royal Surrey County Hospital NHS Foundation Trust,2021-09-18,1
Royal Surrey County Hospital NHS Foundation Trust,2021-09-17,1
Royal Surrey County Hospital NHS Foundation Trust,2021-09-16,1
Royal Surrey County Hospital NHS Foundation Trust,2021-09-15,1
Royal Surrey County Hospital NHS Foundation Trust,2021-09-14,1
Royal Surrey County Hospital NHS Foundation Trust,2021-09-13,1
Royal Surrey County Hospital NHS Foundation Trust,2021-09-12,1
Royal Surrey County Hospital NHS Foundation Trust,2021-09-11,1
Royal Surrey County Hospital NHS Foundation Trust,2021-09-10,1
Royal Surrey County Hospital NHS Foundation Trust,2021-09-09,1
Royal Surrey County Hospital NHS Foundation Trust,2021-09-08,1
Royal Surrey County Hospital NHS Foundation Trust,2021-09-07,1
Royal Surrey County Hospital NHS Foundation Trust,2021-09-06,2
Royal Surrey County Hospital NHS Foundation Trust,2021-09-05,2
Royal Surrey County Hospital NHS Foundation Trust,2021-09-04,2
Royal Surrey County Hospital NHS Foundation Trust,2021-09-03,2
Royal Surrey County Hospital NHS Foundation Trust,2021-09-02,2
Royal Surrey County Hospital NHS Foundation Trust,2021-09-01,1
Royal Surrey County Hospital NHS Foundation Trust,2021-08-31,1
Royal Surrey County Hospital NHS Foundation Trust,2021-08-30,1
Royal Surrey County Hospital NHS Foundation Trust,2021-08-29,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-28,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-27,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-26,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-25,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-24,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-23,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-22,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-21,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-20,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-19,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-18,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-17,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-16,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-15,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-14,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-13,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-12,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-11,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-10,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-09,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-08,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-07,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-06,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-05,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-04,0
Royal Surrey County Hospital NHS Foundation Trust,2021-08-03,0
