date,rate
2022-02-01,1304.6
2022-01-31,1326.6
2022-01-30,1345.1
2022-01-29,1352.3
2022-01-28,1344.5
2022-01-27,1336
2022-01-26,1325.3
2022-01-25,1296.6
2022-01-24,1273.6
2022-01-23,1253.4
2022-01-22,1216.7
2022-01-21,1186.6
2022-01-20,1144.1
2022-01-19,1098.8
2022-01-18,1061.4
2022-01-17,1029.9
2022-01-16,980.9
2022-01-15,956.4
2022-01-14,953.9
2022-01-13,982.5
2022-01-12,1059.8
2022-01-11,1148.4
2022-01-10,1330.7
2022-01-09,1447.7
2022-01-08,1539.5
2022-01-07,1572.8
2022-01-06,1659.7
2022-01-05,1765.5
2022-01-04,1866.1
2022-01-03,1801.9
2022-01-02,1791
2022-01-01,1740
2021-12-31,1704.9
2021-12-30,1712.9
2021-12-29,1681
2021-12-28,1636.8
2021-12-27,1654.6
2021-12-26,1653.6
2021-12-25,1681.3
2021-12-24,1772
2021-12-23,1730.9
2021-12-22,1677
2021-12-21,1646.7
2021-12-20,1582
2021-12-19,1492.2
2021-12-18,1414.2
2021-12-17,1303.1
2021-12-16,1203
2021-12-15,1087.4
2021-12-14,943.9
2021-12-13,830.6
2021-12-12,773.8
2021-12-11,737.7
2021-12-10,725.5
2021-12-09,719.8
2021-12-08,720.1
2021-12-07,737.7
2021-12-06,748.7
2021-12-05,751.4
2021-12-04,753.8
2021-12-03,752.2
2021-12-02,748.5
2021-12-01,742.7
2021-11-30,722.2
2021-11-29,709.7
2021-11-28,703.7
2021-11-27,712.2
2021-11-26,718.1
2021-11-25,712.2
2021-11-24,703.2
2021-11-23,684.7
2021-11-22,665.3
2021-11-21,653
2021-11-20,626.7
2021-11-19,603.6
2021-11-18,582
2021-11-17,558.5
2021-11-16,543.6
2021-11-15,522.6
2021-11-14,493.9
2021-11-13,477.1
2021-11-12,455.3
2021-11-11,434.3
2021-11-10,413
2021-11-09,386.3
2021-11-08,371.9
2021-11-07,369.4
2021-11-06,373.7
2021-11-05,386.7
2021-11-04,403
2021-11-03,417.1
2021-11-02,434.6
2021-11-01,443.5
2021-10-31,451.9
2021-10-30,454
2021-10-29,455.7
2021-10-28,467.7
2021-10-27,480.6
2021-10-26,502.1
2021-10-25,525.9
2021-10-24,542.8
2021-10-23,561.1
