date,age,cumu_first,cumu_second,cumu_third,prop_first,prop_second,prop_third
2022-02-05,12 to 15,41356,13451,93,64,20.8,0.1
2022-02-05,16 to 17,23564,18185,2459,76.1,58.7,7.9
2022-02-05,18 to 24,77668,71314,43005,76.8,70.5,42.5
2022-02-05,25 to 29,56601,52808,33815,74.9,69.9,44.8
2022-02-05,30 to 34,65823,62230,42977,77.5,73.3,50.6
2022-02-05,35 to 39,72466,69650,52863,80.5,77.4,58.7
2022-02-05,40 to 44,79545,77371,63409,83.9,81.6,66.9
2022-02-05,45 to 49,81644,79829,68967,86.9,85,73.4
2022-02-05,50 to 54,84274,82935,74991,89.5,88.1,79.7
2022-02-05,55 to 59,82321,81116,74456,91,89.7,82.3
2022-02-05,60 to 64,68151,67226,63058,92.2,91,85.3
2022-02-05,65 to 69,55659,55022,52866,93.5,92.4,88.8
2022-02-05,70 to 74,56620,56138,54621,95.4,94.6,92.1
2022-02-05,75 to 79,45427,45107,44073,96.4,95.7,93.5
2022-02-05,80 to 84,30876,30695,29853,96.8,96.2,93.6
2022-02-05,85 to 89,21085,20955,20295,96.9,96.3,93.3
2022-02-05,90+,12609,12542,11996,95.7,95.2,91.1
2022-02-04,12 to 15,41245,12954,85,63.9,20.1,0.1
2022-02-04,16 to 17,23545,18118,2391,76.1,58.5,7.7
2022-02-04,18 to 24,77632,71279,42820,76.8,70.5,42.3
2022-02-04,25 to 29,56578,52780,33682,74.9,69.9,44.6
2022-02-04,30 to 34,65806,62204,42872,77.5,73.3,50.5
2022-02-04,35 to 39,72459,69628,52725,80.5,77.4,58.6
2022-02-04,40 to 44,79540,77354,63318,83.9,81.6,66.8
2022-02-04,45 to 49,81638,79822,68890,86.9,84.9,73.3
2022-02-04,50 to 54,84268,82933,74934,89.5,88.1,79.6
2022-02-04,55 to 59,82320,81110,74424,91,89.7,82.3
2022-02-04,60 to 64,68149,67222,63044,92.2,91,85.3
2022-02-04,65 to 69,55658,55022,52857,93.5,92.4,88.8
2022-02-04,70 to 74,56618,56138,54619,95.4,94.6,92
2022-02-04,75 to 79,45427,45107,44069,96.4,95.7,93.5
2022-02-04,80 to 84,30875,30695,29849,96.8,96.2,93.6
2022-02-04,85 to 89,21085,20955,20290,96.9,96.3,93.2
2022-02-04,90+,12609,12542,11996,95.7,95.2,91.1
2022-02-03,12 to 15,41199,12790,83,63.8,19.8,0.1
2022-02-03,16 to 17,23540,18085,2370,76,58.4,7.7
2022-02-03,18 to 24,77604,71252,42712,76.7,70.5,42.2
2022-02-03,25 to 29,56567,52765,33611,74.9,69.8,44.5
2022-02-03,30 to 34,65795,62188,42805,77.5,73.2,50.4
2022-02-03,35 to 39,72451,69619,52669,80.5,77.4,58.5
2022-02-03,40 to 44,79538,77345,63262,83.9,81.6,66.7
2022-02-03,45 to 49,81635,79818,68845,86.9,84.9,73.3
2022-02-03,50 to 54,84265,82930,74910,89.5,88.1,79.6
2022-02-03,55 to 59,82319,81105,74405,91,89.6,82.2
2022-02-03,60 to 64,68148,67221,63035,92.2,91,85.3
2022-02-03,65 to 69,55655,55021,52853,93.5,92.4,88.8
2022-02-03,70 to 74,56618,56137,54615,95.4,94.6,92
